ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
64,1,1393,چهارم,,,بیماری های داخلی مغز و اعصاب ( نورولوژی),20,فلج مغزی مادرزادی (C.P),"فلج مغزی مادرزادی (C.P):
الف) همراه با اختلال عملکرد مشهود: معاف دائم 
ب) در حال خفیف (بنحوی که در هنگام راه رفتن در ظاهر عمومی عارضه ایی مشهود نباشد): معاف از خدمات رزمی"
65,1,1393,چهارم,,,بیماری های داخلی مغز و اعصاب ( نورولوژی),21,هایپوکالمی پریودیک,"هایپوکالمی پریودیک با حداقل دو بار بستری در مراکز درمانی نظامی یا دانشگاهی و تأیید پاراکلینیک: معاف دائم
توضيحات بند 21: هیپوکالمی در مواردی که فقط یکبار اتفاق افتاده به مدت شش ماه معاف موقت و در صورت عدم تکرار معاف از رزم مدنظر قرار گیرد."
66,1,1393,چهارم,,,بیماری های داخلی مغز و اعصاب ( نورولوژی),22,گیلن باره,"گیلن باره:
الف) حاد: شش ماه تا یکسال معاف موقت 
ب) بهبود یافته: معاف از خدمات رزمی
توضيحات بند 22: گیلن باره ای که بعد از شش ماه معافیت موقت بهبود نیافته باشد، ضمن در نظر گرفتن مفاد بند (12) به استناد بند سایر تعیین تکلیف گردد."
67,1,1393,چهارم,,,بیماری های داخلی مغز و اعصاب ( نورولوژی),23,مشمولین پزشک,مشمولین پزشک که از سلامتی کامل در خصوص هر یک از بیماریهای فوق برخوردار نباشند (بیماری آنان در حد معافیت دائم باشد) لیکن قادر به طبابت در نیروهای مسلح باشند: معاف از خدمات سنگین
68,1,1393,چهارم,,,بیماری های داخلی مغز و اعصاب ( نورولوژی),24,سایر بیماریها,"سایر بیماریها:
الف) سایر بیماریهای موضوع این بخش که منطبق با دسته دوم ماده 2 آیین نامه می باشند: معاف از خدمات رزمی 
ب) سایر بیماریهای موضوع این بخش که منطبق با دسته سوم ماده 2 آیین نامه می باشند: شش ماه معاف موقت 
ج) سایر بیماریهای موضوع این بخش که منطبق با دسته چهارم ماده 2 آیین نامه می باشند: معاف دائم"
69,1,1393,پنجم,,,بیماریهای اعصاب و روان,1,پسیکوزها,"پسيكوزها:
الف) اسکیزوافکتیو، اسکیزوفرنی، اختلالات هذیانی و پسیکوزهای آتیپیک مزمن: معاف دائم 
ب) اختلال سایکوز گذرا: شش ماه معاف موقت
توضيحات بند (1) جزء ب: پس از شش ماه (معافیت موقت) تحت درمان در مراکز درمانی نیرو های مسلح و یا دانشگاهی توسط پزشکان متخصص معتمد، در صورت بهبودی به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) قابل رسیدگی می باشد."
70,1,1393,پنجم,,,بیماریهای اعصاب و روان,2,اختلالات خلقی,"اختلالات خلقی:
الف) ابتلا به بیماری دو قطبی نوع یک در هر مرحله و فاز: معاف دائم 
ب) اختلال افسردگی اساسی: معاف دائم
توضيحات بند (2) جزء ب: در این جزء نوع شدید بیماری مد نظر می باشد و در موارد اختلال متوسط به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) قابل رسیدگی می باشد. 
ج) انواع اختلال خلقی افسردگی خفیف (دیس تایمی و سایکلو تایمی)، اختلال خلقی دو قطبی نوع دوّم (هایپومانیا) در صورتیکه با دارو تحت کنترل بوده و یا تهدید کننده خود و اطرافیان نباشد: معاف از خدمات رزمی
توضيحات جزء ج: اختلال دو قطبی نوع دوم شدید و مقاوم به درمان به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) قابل رسیدگی می باشد. 
د) در صورتیکه حداقل شش ماه از حمله حاد (اولین حمله حاد مانیا) و افسردگی گذشته باشد و هیچگونه علامتی نداشته باشد: معاف از خدمات رزمی"
71,1,1393,پنجم,,,بیماریهای اعصاب و روان,3,انواع اختلالات شخصیتی,"انواع اختلالات شخصیتی:
الف) انواع سایکوپات (ضد اجتماعی)، مرزی، اسکیزوئید، اسکیزوتایپال و پارانوئید: معاف دائم 
توضيحات بند (3) جزء الف: جهت بررسی های تشخیصی، اقدامات درمانی و اثبات بیماری سایکوپات (ضد اجتماعی) در مراکز درمانی معتمد و طرف قرارداد به استناد (ب) بند سایر بیماریها (شش ماه معاف موقت) منظور می گردد. در صورت بهبودی به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) و در صورت تایید و اثبات بیماری و تعلق معافیت دایم لازم است مراتب در شورای عالی پزشکی نیز تایید گردد.
ب) انواع دیگر اختلال شخصیت در صورتیکه ناتوان کننده نباشد: معاف از خدمات رزمی
توضيحات جزء ب: صفات شخصیت مرزی از مصادیق این جزء می باشد."
72,1,1393,پنجم,,,بیماریهای اعصاب و روان,4,"وسواس (OCD)، پانیک، اضطراب، فوبیا یا PTSD یا سایر اختلالات اضطرابی","اختلال وسواس (OCD)، اختلال پانیک، اختلال اضطراب، فوبیا یا PTSD یا سایر اختلالات اضطرابی:
الف) نوع شدید مقاوم به درمان: معاف دائم 
ب) نوع خفیف: معاف از خدمات رزمی
توضيحات بند (4) جزء ب: در مواردی که شدت بیماری کمتر از میزان ذکر شده در جزء (الف) باشد از مصادیق این جزء می باشد و در موارد متوسط به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) قابل رسیدگی می باشد."
73,1,1393,پنجم,,,بیماریهای اعصاب و روان,5, عقب ماندگی ذهنی,"انواع نقیصه های عقلانی و کند ذهنی ها(عقب ماندگی ها):
الف) باضریب هوشی زیر 70: معاف دائم 
ب) با ضریب هوشی بین 70-90: معاف از خدمات رزمی"
74,1,1393,پنجم,,,بیماریهای اعصاب و روان,6,اختلالات تکلم و لکنت زبان ,"اختلالات تکلم و لکنت زبان در صورتیکه علت روانی یا نورولوژیک داشته باشد:
الف) موارد شدید: معاف دائم 
تبصره برای دارندگان مدارک کارشناسی و بالاتر: معاف از خدمات رزمی 
ب) در موارد متوسط یا خفیف: معاف از خدمات رزمی"
75,1,1393,پنجم,,,بیماریهای اعصاب و روان,7,کژخوئی ها,"کژخوئی هایی که مغایر شئونات اجتماعی و نظامی (از جمله انحرافات جنسی و هموسکسوالیتی) باشد: شش ماه معاف موقت 
تبصره – پس از شش ماه در صورت اثبات در مراکز درمانی ن.م: معاف دائم
توضيحات بند 7: لازم است در طول شش ماه معافیت موقت، مشمول در یکی از مراکز درمانی نیروهای مسلح تحت نظر تیم تخصصی مورد بررسی های تشخیصی و اقدامات درمانی قرار گرفته و پس از مدت مذکور و اعلام کتبی نظریه نهایی وضعیت وی در شورای پزشکی مطرح و تصمیم گیری شود. 
تبصره: در صورت بهبود به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) و در صورت تایید و اثبات بیماری معافیت دایم تعلق می گیرد که لازم است پرونده جهت تصمیم گیری نهایی در راستای ماده (43) قانون به شورای عالی پزشکی ارجاع گردد."
76,1,1393,پنجم,,,بیماریهای اعصاب و روان,8,اختلالات کنترل تکانه,اختلالات کنترل تکانه شدید: معاف دائم
77,1,1393,پنجم,,,بیماریهای اعصاب و روان,9,اختلالات سوماتوفرم,"اختلالات سوماتوفرم در صورتیکه بیش از دوسال طول کشیده باشد به شرط ثبوت با مدارک پزشکی مستدل: معاف دائم 
تبصره برای دارندگان مدارک کارشناسی و بالاتر: معاف از خدمات رزمی"
78,1,1393,پنجم,,,بیماریهای اعصاب و روان,10,اختلالات تیک صوتی یا حرکتی,"اختلالات تیک صوتی یا حرکتی:
الف) نوع شدید: معاف دائم 
ب) نوع خفیف: معاف از خدمات رزمی
توضيحات بند 10: در موارد متوسط به استناد قسمت (الف) بند سایر بیماریها (معاف از رزم) قابل رسیدگی می باشد."
79,1,1393,پنجم,,,بیماریهای اعصاب و روان,11,اختلالات فراگیر رشد,"اختلالات فراگير رشد (Pervasive Developmental Disorders) از قبيل اختلال اوتيستيك... اثبات شده:
الف) شدید همراه با اُفت عملکرد واضح: معاف دائم 
ب) خفیف: معاف از خدمات رزمی"
80,1,1393,پنجم,,,بیماریهای اعصاب و روان,12,اختلال هویت جنسی,اختلال هویت جنسی (TS) با ارائه گواهی پزشکی قانونی و تأیید در مراکز درمانی ن.م: معاف دائم
81,1,1393,پنجم,,,بیماریهای اعصاب و روان,13,اعتیاد به مواد مخدر یا روان گردان,"اعتیاد به مواد مخدر یا روان گردان: شش ماه معاف موقت
توضيحات بند 13: رسیدگی و اعزام به خدمت این گونه مشمولان به ارائه گواهی ترک اعتیاد از مراجع ذی ربط می باشد.
تبصره بند 13: این بند فقط مختص مشمولان قبل از اعزام به خدمت بوده و شوراهای عالی پزشکی یگان های نیروهای مسلح مجاز به استناد بند مذکور نمی باشند و جهت تعیین تکلیف کارکنان معتاد به مواد مخدر و روان گردان یگانهای نیروهای مسلح می بایست طبق تبصره (4) ماده (39) قانون خدمت وظیفه عمومی اقدام نمایند."
82,1,1393,پنجم,,,بیماریهای اعصاب و روان,14,مشمولین پزشک,مشمولین پزشک که از سلامتی کامل در خصوص هر یک از بیماریهای فوق برخوردار نباشند ( بیماری آنان در حد معافیت دائم باشد) لیکن قادر به طبابت در نیروهای مسلح باشند: معاف از خدمات سنگین
83,1,1393,پنجم,,,بیماریهای اعصاب و روان,15,سایر بیماری ها,"سایر بیماری ها:
الف) سایر بیماریهای موضوع این بخش که منطبق با دسته دوم ماده 2 آیین نامه می باشند: معاف از خدمات رزمی 
ب)سایر بیماریهای موضوع این بخش که منطبق با دسته سوم ماده 2 آیین نامه می باشند: شش ماه معاف موقت 
ج) سایر بیماریهای موضوع این بخش که منطبق با دسته چهارم ماده 2 آیین نامه می باشند: معاف دائم"
84,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,1,"اسپوندیلولیزیس، اسپوندیلولیستزیس و رترولیستزیس","اسپوندیلولیزیس و اسپوندیلولیستزیس و رترولیستزیس:
الف) اسپوندیلولیزیس با هر درجه همراه با اختلال و علائم عصبی: معاف دائم
توضيحات جزء (الف) بند 1: اختلال و علایم عصبی منظور می باشد که طی اقدامات نظیر:گرافی Oblice,CT,EMG,NCV قابل تشخیص باشد.
ب) اسپوندیلولیزیس بدون اختلال و علائم عصبی: معاف از خدمات رزمی 
ج) اسپوندیلولیستزیس همراه با Bulge دیسک و یا دیسک دهیدراته همراه با عوارض عصبی: معاف دائم 
د) اسپوندیلولیستزیس درجه یک و بدون اختلال و عوارض عصبی: معاف از خدمات رزمی 
توضيحات جزء د: اسپوندیلولیستزیس بالاتر از درجه یک (بیش از 25 درصد سطح مهره درگیر باشد) به استناد قسمت (ج) بند سایر بیماریها (معاف دایم) قابل رسیدگی می باشد.
ه) رترولیسنزیس همراه با علائم اختلال و علائم عصبی: معاف دائم"
85,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,2,انواع هرنی دیسکال,"انواع هرنی دیسکال یا Extrusion دیسک: معاف دائم (در مورد بیماران عمل نشده، انجام MRI ستون فقرات در مراکز درمانی نظامی و یا دانشگاهی ضروری می باشد و مواردی که ممنوعیت داشته باشد از میلوگرافی استفاده شود)"
86,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,3,سایر اختلالات دیسک,"protrusion، برجستگي (Bulging) یا دهيدراتاسيون ديسكال همراه با علائم باليني يا ندول اشمورل: معاف از خدمات رزمي"
87,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,4,لامینکتومی,"لامینکتومی با عمل جراحی همراه با سوابق مستند کلینیکی و پاراکلینیکی: معاف دائم 
تبصره دیسکتومی به روش لیزر که برای برجستگی (Bulging) خفیف دیسک انجام شده است: معاف از خدمات رزمی
توضيحات تبصره بند 4: توضیح اینکه اعمال جراحی بر روی دیسک و نخاع از جمله همی لامینکتومی در صورت اثبات با گرافی و یا  CT به همراه ارائه پاتولوژی بافت، به استناد قسمت (ج) بند سایر بیماریها (معاف دایم) قابل رسیدگی می باشد."
88,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,5,"ساکرالیزایسون، لومباریزاسیون، اسپینابیفیدا و همی ساکرالیزاسیون","ساکرالیزایسون، لومباریزاسیون، اسپینابیفیدا و همی ساکرالیزاسیون: معاف از خدمات رزمی"
89,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,6,تومورهای استخوانی خوش خیم ستون فقرات,"تومورهای استخوانی خوش خیم ستون فقرات:
الف) در صورتیکه از نظر حجم و موقعیت اختلال عملی ایجاد نماید : معاف دائم 
توضيحات جزء (الف) بند 6: منظور از اختلال عملی، ایجاد اثرات فشاری وی کانالی نخاعی یا ریشه ی عصبی با اثرات تخریبی روی مفاصل (Facet joint) است که در  MRI و EMG قابل تشخیص باشد.
ب) بدون اختلال عملی: معاف از خدمات رزمی"
90,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,7,انواع شکستگی های مهره ها,"انواع شکستگی های مهره ها:
الف) در موارد حاد جهت سیر مراحل درمان: شش ماه معاف موقت 
ب) با کلاپس بیشتر از 25 درصد: معاف دائم 
توضيحات جزء (ب) بند 7: در صورت شکستگی در چند مهره (بیش از سه مهره) و یا در مجموع کلاپس شکستگی بیش از 25 درصد، باشد به استناد قسمت (ج) بند سایر بیماریها (معاف دایم) قابل رسیدگی می باشد.
ج) شکستگی زوائد شوکی یا عرضی یا شکستگی مهره با کلاپس 25 درصد و کمتر از ارتفاع مهره: معاف از خدمات رزمی"
91,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,8,تغییر شکلهای مادرزادی جمجمه,"تغییر شکلهای مادرزادی جمجمه مانند ماكروسفالي، ميكروسفالي و …:
الف) با اختلال عملکرد: معاف دائم 
ب) بدون اختلال عملکرد: معاف از خدمات رزمی
توضيحات بند 8: منظور از اختلال عملکرد، اختلال در عملکرد مغز می باشد."
92,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,9,کیستهای آراکنوئید و ضایعات مادرزادی,کیستهای آراکنوئید و ضایعات مادرزادی با اثر فشاری و توأم با اختلال عصبی با یا بدون عمل جراحی: معاف دائم
93,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,10,اختلالات عروقی مغز,اختلالات عروقی مغز(مثل آنوریسم و A.V.M): معاف دائم
94,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,11,شکستگی های فرو رفته جمجمه,شکستگی های فرو رفته جمجمه بدون سابقه عمل جراحی و فاقد عارضه یا شکستگی های خطی که موجب دیاستازیس نشده باشد: معاف از خدمات رزمی
95,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,12,سابقه عمل جراحی روی مغز و جمجمه,"سابقه عمل جراحی روی مغز و جمجمه:
الف) در صورتیکه کمتر از شش ماه از عمل جراحی گذشته باشد: شش ماه معاف موقت 
ب) همراه با اختلال عملی و یا علائم عصبی: معاف دائم 
ج) بدون اختلال عملی و علائم عصبی: معاف از خدمات رزمی"
96,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,13,کمپرسیونهای نخاعی,"کمپرسیونهای نخاعی به علت تومورهای استخوانی مهره ها و یا سکل عفونتها و آراکنوئیدیتها، تنگی کانال نخاع و .... که همراه با علائم کلینیکی و پاراکلینیکی باشد یا به مرحله فلج رسیده باشد: معاف دائم"
97,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,14,جسم خارجی CNS,هر نوع جسم خارجی در داخل جمجمه و کانال نخاعی: معاف دائم
98,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,15,توراسیک اوت لت سندرم ( TOS),"توراسیک اوت لت سندرم (TOS):
الف) در صورت وجود علائم بالینی و پاراکلینیک بارز: معاف دائم 
ب) در صورت عدم وجود علائم بالینی از جمله دنده گردنی و …: معاف از خدمات رزمی"
99,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,16,انواع خونریزی های سربرومننژ,"انواع خونریزی های سربرومننژ:
الف) در موارد حاد جهت سیر مراحل درمان: شش ماه معاف موقت 
ب) با عارضه عصبی (ارگانیک یا غیر ارگانیک): معاف دائم 
ج) بدون عارضه: معاف از خدمات رزمی"
100,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,17,تروماهای عصبی,"تروماهای عصبی:
الف) در موارد حاد جهت سیر مراحل درمان: شش ماه معاف موقت 
ب) فلج اعصابی که سبب اختلالات عملی و ناتوان کننده شود: معاف دائم 
ج) صدمات عصبی حسی: معاف از خدمات رزمی"
101,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,18,کیستهای مغزی یا نخاعی,"کیستهای مغزی یا نخاعی:
الف) به هر اندازه (عمل شده یا عمل نشده) به همراه اختلال عملی و یا علائم عصبی: معاف دائم 
ب) بدون اختلال عملی یا علائم عصبی: معاف از خدمات رزمی"
102,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,19,تومورهای سیستم اعصاب,"تومورهای سیستم اعصاب مركزي (CNS) و محيطي:
الف) بدخیم: معاف دائم 
ب) خوش خیم با عارضه عصبی و اختلال عملی: معاف دائم 
ج) خوش خیم بدون عارضه عصبی و اختلال عملی: معاف از خدمات رزمی"
103,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,20,عمل جراحی روی ستون فقرات,"عمل جراحی روی ستون فقرات (به جز نسج نرم):
الف) در موارد حاد جهت سیر مراحل درمان: شش ماه معاف موقت 
ب) به همراه اختلال عملکردی واضح: معاف دائم 
ج) بدون اختلال عملکردی واضح: معاف از خدمات رزمی"
104,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,21,مشمولین پزشک,مشمولین پزشک که از سلامتی کامل در خصوص هر یک از بیماریهای فوق برخوردار نباشند (بیماری آنان در حد معافیت دائم باشد) لیکن قادر به طبابت در نیروهای مسلح باشند: معاف از خدمات سنگین
105,1,1393,ششم,,,بیماری های جراحی مغز و اعصاب,22,سایر بیماری ها,"سایر بیماری ها:
الف) سایر بیماریهای موضوع این بخش که منطبق با دسته دوم ماده 2 آیین نامه می باشند: معاف از خدمات رزمی 
ب) سایر بیماریهای موضوع این بخش که منطبق با دسته سوم ماده 2 آیین نامه می باشند: شش ماه معاف موقت 
ج) سایر بیماریهای موضوع این بخش که منطبق با دسته چهارم ماده 2 آیین نامه می باشند: معاف دائم"
106,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,1,تغییر شکل مادرزادی قفسه صدری,"تغییر شکلهای مادرزادی قفسه صدری مانند سينه فرورفته (سينه قيفي شكل)، جناغ برجسته يا فقدان عضلات تنفسي:
الف) همراه با اختلال واضح بالینی (و تأیید پاراکلینیک) در عملکرد قلب (EF کمتر از 50) یا ریه (FVC کمتر از 40 درصد پایه): معاف دائم 
ب) بدون اختلال تنفسی و قلبی: معاف از خدمات رزمی"
107,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,2,تغییر شکل مجاری هوائی,"تغییر شکلهای مادرزادی یا اکتسابی مجاری هوائی (فیستولها و تراکئوبرونکومگالی) بهمراه اختلال عملکرد متوسط یا شدید ریه (FEV1 کمتر از 50 درصد): معاف دائم 
توضیحات بند 2: در موارد FEV1 بالاتر از 50 درصد با جز الف بند سایر بیماری ها قابل رسیدگی می باشد."
108,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,3,بیماری های دیافراگم,تغییر شکل و نقصهای مادرزادی دیافراگم (نبودن دیافراگم یا فلج آن): معاف دائم
109,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,4,"آژنزی، آپلاژی یا رزکسیون ریه ","عدم تشکیل قسمتی از ریه (آژنزی ریه) یا آپلاژی کامل یا جزئی یا رزکسیون قسمتی از ریه طی عمل جراحی:
الف)با اختلال متوسط تا شدید در عملکرد تنفسی (FVC کمتر از 40 درصد پایه): معاف دائم 
ب) با اختلال خفیف در عملکرد تنفسی: معاف از خدمات رزمی"
110,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,5,استئیت و استئومیلیت دنده ها یا ترقوه یا جناغ سینه یا کتف,"استئیت و استئومیلیت دنده ها یا ترقوه یا جناغ سینه یا کتف:
الف) نوع مزمن (بیش از 6 ماه): معاف دائم
ب) نوع حاد: شش ماه معاف موقت 
ج) نوع بهبود یافته: معاف از خدمات رزمی"
111,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,6,"شکستگی دنده ها، جناغ یا ترقوه یا کتف","شکستگی دنده ها (3 یا بیشتر) یا جناغ یا ترقوه یا کتف:
الف) در موارد حاد جهت سیر مراحل درمان: شش ماه معاف موقت 
ب) در صورتیکه موجب اختلال متوسط یا بیشتر عملکرد تنفسی یا تغییر شکل شدید شده باشد به شرط اثبات در بیمارستانهای نظامی یا دانشگاهی (FEV1 کمتر از 50 درصد یا FVC کمتر از 40 درصد پایه): معاف دائم 
ج) در صورت اختلال خفیف عملکرد تنفسی: معاف از خدمات رزمی"
112,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,7,سیکاتریس ها,سیکاتریس ها (ناشی از سوختگی و یا اعمال جراحی) که ایجاد اختلال عملکرد تنفسی متوسط یا بیشتر نماید (FEV1 کمتر از 50 درصد یا FVC کمتر از 40 درصد پایه): معاف دائم
113,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,8,پلورزی,"انواع پلورزیها:
الف) نوع مزمن (بیش از ۳ماه): معاف دائم 
ب) نوع حاد: شش ماه معاف موقت"
114,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,9,سابقه پنوموتوراکس خودبخودی,"سابقه پنوموتوراکس خودبخودی:
الف) تکرار شونده (بیش از یک بار): معاف دائم 
ب) یک بار تأیید شده: معاف از خدمات رزمی 
توضیحات بند 9: ارائه مدارک متقن بالینی از جمله گرافی و سوابق بستری از مراکز درمانی معتبر دانشگاهی یا نظامی الزامی می باشد."
115,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,10,"سارکوئیدوز، فیروز منتشر ریه، سندرم کارتاژنز","سارکوئیدوز، فیروز منتشر ریه، سندرم کارتاژنز: معاف دائم 
تبصره: درخصوص فیبروز ریه در صورتیکه کمتر از یک لوپ درگیر باشد برای دارندگان مدارک کارشناسی و بالاتر: معاف از خدمات رزمی"
116,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,11,فیبروز ریه ناشی از اسکار,"فیبروز ریه ناشی از اسکار:
الف) با اختلال عملکرد متوسط یا بیشتر (FEV1 کمتر از 50 درصد یا FVC کمتر از 40 درصد پایه): معاف دائم 
ب) با اختلال عملکرد خفیف: معاف از خدمات رزمی"
117,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,12,بیماریهای قارچی مزمن ریه,بیماریهای قارچی مزمن ریه: معاف دائم
118,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,13,پنوموکونیوزها,"پنوموکونیوزها: معاف دائم 
توضیحات بند 13:  منظور پنوموکونیوزهایی است که همراه با اختلال عملکرد ریه می باشد."
119,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,14,سابقه ترومبوآمبولی ریه,"سابقه ترومبوآمبولی ریه:
الف) اگر تکرار شونده باشد(بیش از یک بار): معاف دائم 
ب) اگر تکرار شونده نباشد: معاف از خدمات رزمی 
توضیحات بند 14: در موارد حاد جهت درمان به استناد جزء ب بند سایر بیماری ها شش ماه معاف موقت در نظر گرفته شود."
120,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,15,آمفیزم ریه,"آمفیزم ریه:
الف) بصورت منتشر : معاف دائم
توضیحات بند 15 جزء (الف): آمفیزم منتشر در صورت همراه بودن با اختلال عملکرد ریه از مصادیق این بند می باشد.
ب) لوکالیزه: معاف از خدمات رزمی"
121,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,16,"کیست های مختلف ریه، پلور و پریکاردیال، ضایعات بولاریه و یا کیست های هوائی بزرگ و متعدد","کیست های مختلف ریه( درموئید و …) پلور و پریکاردیال، ضایعات بولاریه و یا کیست های هوائی بزرگ و متعدد:
الف) با اختلال متوسط یا بیشتر عملکرد تنفسی (FEV1 کمتر از 50 درصد یا FVC کمتر از 40 درصد پایه): معاف دائم 
ب) با اختلال عملکرد خفیف و یا بدون اختلال عملکرد تنفسی: معاف از خدمات رزمی"
122,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,17,سکلهای ریوی (ناشی از آبسه و …),"سکلهای ریوی (ناشی از آبسه و …):
الف) با اختلال متوسط یا بیشتر عملکرد تنفسی (FVC کمتر از 40 درصد پایه): معاف دائم 
ب) با اختلال خفیف عملکرد و یا بدون اختلال عملکرد تنفسی: معاف از خدمات رزمی"
123,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,18,برونشکتاری,"برونشکتاری با درگیری حداقل دو لوب: معاف دائم
توضیحات بند 18: برونشکتاری با درگیری کمتر از دو لوب ریه به استناد جزء الف بند سایر بیماری ها قابل رسیدگی می باشد."
124,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,19,سیستیک فیبروزیس,سیستیک فیبروزیس(CF): معاف دائم
125,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,20,برونشیت مزمن,برونشیت مزمن همراه با اختلال عملکرد تنفسی متوسط و یا بیشتر (FEV1 کمتر از 50 درصد): معاف دائم
126,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,21,آسم ,"آسم به شرط اثبات کلینیکی و پاراکلینیکی و داشتن سوابق درمانی بالینی (FEV1 کمتر از 50 درصد):
الف) با اختلال عملکرد تنفسی متوسط و یا بیشتر: معاف دائم
توضیحات بند 21:  FEV1 کمتر از50% مربوط به جزء (الف) بوده و شرط لازم جهت برخورد داری از معافیت دائم می باشد. 
ب) در نوع خفیف و آلرژیهای تنفسی: معاف از خدمات رزمی"
127,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,22,اجسام خارجی ریه,"اجسام خارجی ریه، برونش و مدیاستن که عارضه ریوی ایجاد کرده و باعث اختلال متوسط و یا بیشتر در عملکرد ریه شده باشد و یا شرائین بزرگ را به مخاطره بیندازد به شرط اثبات در بیمارستانهای نظامی یا دانشگاهی: معاف دائم"
128,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,23,سابقه اعمال جراحی قفسه سینه,"سابقه اعمال جراحی قفسه سینه اعم از برداشتن دو و یا بیش از دو دنده یا توراکوپلاستی یا رزکسیون حداقل یک لوب ریه یا دکورتیکاسیون ریه: معاف دائم 
تبصره - تروماهای غیر نافذ ریه که باعث پارگی و کونتوزیون ریه شده باشد و بدون عمل جراحی بهبود یافته و اختلال عملکرد تنفسی نیز ایجاد نکرده باشد: معاف از خدمات رزمی
توضیحات بند 23:  ارائه مدارک مستدل پزشکی از مراکز درمانی معتبر الزامی می باشد."
129,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,24,تنگی های تراشه با برونشها,"تنگی های تراشه با برونشها که ایجاد اختلال عملکرد تنفسی متوسط و یا بیشتر نموده باشد(با تأیید یافته های اسپیرومتری): معاف دائم 
توضیحات بند 24: تنگی های تراشه با برونشها بدون اختلال عملکرد ریوی به استناد جزء الف بند سایر بیماری ها قابل رسیدگی می باشد."
130,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,25,مدیاستنیتهای مزمن,"مدیاستینیت های مزمن: معاف دائم 
توضیحات بند 25: در موارد مدیاستینیت های حاد جهت درمان به استناد جزء ب بند سایر بیماری ها شش ماه معاف موقت در نظر گرفته شود.
"
131,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,26,پیوند ریه,پیوند ریه: معاف دائم
132,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,27,هیپرتانسیون پولمونر,هیپرتانسیون پولمونر اولیه در هر مرحله: معاف دائم
133,1,1393,هفتم,,,بیماریهای ریه و قفسه صدری,28,مشمولین پزشک,مشمولین پزشک که از سلامتی کامل در خصوص هر یک از بیماریهای فوق برخوردار نباشند (بیماری آنان در حد معافیت دائم باشد) لیکن قادر به طبابت در نیروهای مسلح باشند: معاف از خدمات سنگین
